class,code,name,prof,time,grade,score,number
전공핵심,PIL2002-01,소유와권리,조원경,월15:00-16:15【2B113】 수16:30-17:45【2B113】,3,4,86
전공일반,PIL3003-01,노동법,김홍영,수09:00-10:15【2B113】 수10:30-11:45【2B113】,3,4.7,130
전공핵심,PIL3004-01,국제경제법,이길원,【모듈B】화15:00-16:15【2B113】 목16:30-17:45【2B113】,3,4.92,77
전공일반/전공핵심,SWE2016-01,알고리즘개론,이승필,금15:00-16:15【31709】【1.5h(ON)+1.5h(OFF)】,3,3.43,25
전공핵심,EME2007-41,열역학,권오채,월12:00-13:15【22310】 수13:30-14:45【22310】,3,4.89,31
전공핵심,EME2008-41,유체역학,고한서,화15:00-16:15【22310】 목16:30-17:45【22310】,3,4.71,54
전공핵심,EME2008-43,유체역학,고한서,화16:30-17:45【22312】 목15:00-16:15【22312】,3,4.71,48
전공핵심/전공일반,EME2009-41,동역학,구자춘,월15:00-16:15【22312】 수16:30-17:45【22312】,3,4.34,70
전공핵심/전공일반,EME2009-42,동역학,구자춘,월16:30-17:45【22312】 수15:00-16:15【22312】,3,4.34,73
전공핵심,EME2012-41,고체역학,이동우,월13:30-14:45【22310】 수12:00-13:15【22310】,3,5,36
전공일반,EME2013-42,기계재료,정형모,화10:30-11:45【22310】【1.5h(ON)+1.5h(OFF)】,3,4.5,34
전공일반,EME2016-41,기계공학도를위한전기전자공학입문,최혁렬,화12:00-13:15【22312】 목13:30-14:45【22312】,3,4.11,25
전공일반,EME2016-42,기계공학도를위한전기전자공학입문,최혁렬,화13:30-14:45【22312】 목12:00-13:15【22312】,3,4.11,28
전공일반,EME3015-41,에너지와환경,류창국,월09:00-10:15【22310】 수10:30-11:45【22310】,3,4.54,33
전공일반,EME3015-42,에너지와환경,이원영,월10:30-11:45【22312】 수09:00-10:15【22312】,3,4.63,44
전공일반,EME3015-43,에너지와환경,이창구,화10:30-11:45【22312】 목09:00-10:15【22312】,3,4,7
전공일반,EME3017-41,기구학,이준,화13:30-14:45【22301】 목12:00-13:15【22301】,3,0,35
전공일반,EME3022-41,계측공학,석지원,화09:00-10:15【22310】 목10:30-11:45【22310】,3,4.65,28
전공일반,EME3025-41,제어공학,김종현,월12:00-13:15【22312】 수13:30-14:45【22312】,3,2.84,64
전공일반,EME3030-41,Computer Aided Engineering,김문기,화09:00-10:15【22301】 목10:30-11:45【22301】,3,4.94,38
전공일반,EME3034-41,윤활공학,이영제,월09:00-10:15【22301】 수10:30-11:45【22301】,3,4.2,11
전공일반,EME3053-41,졸업논문연구,백승현,미지정,1,0,0
실험실습,EME3055-42,고체역학설계실습,백상열,수15:00-15:50【21302】 수16:00-16:50【21302】 수17:00-17:50【21302】 수18:00-18:50【21302】 수19:00-19:50【21302】 수20:00-20:50【21302】,3,0,26
실험실습,EME3055-43,고체역학설계실습,최현기,목15:00-15:50【22301】 목16:00-16:50【22301】 목17:00-17:50【22301】 목18:00-18:50【22301】 목19:00-19:50【22301】 목20:00-20:50【22301】,3,4.08,41
실험실습,EME3056-41,열유체공학설계실습,김윤제,월15:00-15:50【22306】 월16:00-16:50【22306】 월17:00-17:50【22306】 월18:00-18:50【22306】 월19:00-19:50【22306】 월20:00-20:50【22306】,3,4.42,39
실험실습,EME3056-42,열유체공학설계실습,변도영,화15:00-15:50【22306】 화16:00-16:50【22306】 화17:00-17:50【22306】 화18:00-18:50【22306】 화19:00-19:50【22306】 화20:00-20:50【22306】,3,3.39,32
실험실습,EME3057-41,진동및동적시스템설계실습,황성호,화15:00-15:50【85427】 화16:00-16:50【85427】 화17:00-17:50【85427】 화18:00-18:50【85427】 화19:00-19:50【85427】 화20:00-20:50【85427】,3,3.61,28
실험실습,EME3057-42,진동및동적시스템설계실습,휴고로드리그,수15:00-15:50【85427】 수16:00-16:50【85427】 수17:00-17:50【85427】 수18:00-18:50【85427】 수19:00-19:50【85427】 수20:00-20:50【85427】,3,3.8,35
실험실습,EME3057-43,진동및동적시스템설계실습,석지원,목15:00-15:50【85427】 목16:00-16:50【85427】 목17:00-17:50【85427】 목18:00-18:50【85427】 목19:00-19:50【85427】 목20:00-20:50【85427】,3,3.73,23
실험실습,EME3058-42,종합설계실습,최현기,수15:00-15:50【22301】 수16:00-16:50【22301】 수17:00-17:50【22301】 수18:00-18:50【22301】 수19:00-19:50【22301】 수20:00-20:50【22301】,3,4.69,25
